,,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG

Year 10

,Internet--------,Price,,72,72.5,79.99,77,,,,,,,,,75.37,,72,72.5,79.99,77,,,,,,,,,75.37,,72,72.5,79.99,77,,,,,,,,,75.37,,72,72.5,79.99,77,,,,,,,,,75.37,
,,S/Q,,5,5,6,6,,,,,,,,,5.5,,5,5,6,6,,,,,,,,,5.5,,5,5,6,6,,,,,,,,,5.5,,5,5,6,6,,,,,,,,,5.5,
,,Models,,206,249,200,250,,,,,,,,,226,,206,249,200,250,,,,,,,,,226,,206,249,200,250,,,,,,,,,226,,206,249,200,250,,,,,,,,,226,
,,Shipping,,0,0,1,0,,,,,,,,,0.3,,0,0,1,0,,,,,,,,,0.3,,0,0,1,0,,,,,,,,,0.3,,0,0,1,0,,,,,,,,,0.3,
,,Advertising,,8000,12000,15000,11000,,,,,,,,,11500,,8000,12000,15000,11000,,,,,,,,,11500,,6000,7000,7000,5000,,,,,,,,,6250,,6000,7000,4000,5000,,,,,,,,,5500,
,,Appeal,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,
,,Orders,,61,102,96,86,,,,,,,,,86,,61,102,96,86,,,,,,,,,86,,55,72,57,55,,,,,,,,,60,,58,75,48,59,,,,,,,,,60,
,,Pairs Sold,,61,102,96,86,,,,,,,,,86,,61,102,96,86,,,,,,,,,86,,55,72,57,55,,,,,,,,,60,,58,75,48,59,,,,,,,,,60,
,,% Share,,0.1768,0.2957,0.2783,0.2493,,,,,,,,,0.25,,0.1768,0.2957,0.2783,0.2493,,,,,,,,,0.25,,0.2301,0.3013,0.2385,0.2301,,,,,,,,,0.25,,0.2417,0.3125,0.2,0.2458,,,,,,,,,0.25,


,Wholesale--------,Price,,47,50,50.99,54,,,,,,,,,50.5,,48,50,50.99,54,,,,,,,,,50.75,,40,44,43.99,48,,,,,,,,,44,,41,47,46.99,48,,,,,,,,,45.75,
,,S/Q,,5,5,6,6,,,,,,,,,5.5,,5,5,6,6,,,,,,,,,5.5,,5,5,6,6,,,,,,,,,5.5,,5,5,6,6,,,,,,,,,5.5,
,,Models,,249,249,347,250,,,,,,,,,274,,249,249,347,250,,,,,,,,,274,,249,249,346,250,,,,,,,,,274,,249,249,346,250,,,,,,,,,274,
,,Advertising,,8000,12000,15000,11000,,,,,,,,,11500,,8000,12000,15000,11000,,,,,,,,,11500,,6000,7000,7000,5000,,,,,,,,,6250,,6000,7000,4000,5000,,,,,,,,,5500,
,,Rebates,,3,3,4,4,,,,,,,,,3.5,,3,3,4,4,,,,,,,,,3.5,,3,2,3,3,,,,,,,,,2.75,,3,2,3,2,,,,,,,,,2.5,
,,Retailers,,3000,3000,3000,3000,,,,,,,,,3000,,3000,3000,3000,3000,,,,,,,,,3000,,1500,1500,1500,1500,,,,,,,,,1500,,1500,1500,1500,1500,,,,,,,,,1500,
,,Support,,420,450,1000,400,,,,,,,,,568,,420,450,1000,400,,,,,,,,,568,,500,400,1000,400,,,,,,,,,575,,500,400,500,500,,,,,,,,,475,
,,Delivery,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,
,,Appeal,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,
,,Demand,,1123,1229,1959,1073,,,,,,,,,1346,,1083,1250,1955,1095,,,,,,,,,1346,,998,820,1235,667,,,,,,,,,930,,1115,831,1016,759,,,,,,,,,930,
,,Gn(StkOut),,75,78,-230,68,,,,,,,,,-2,,104,114,-328,100,,,,,,,,,-3,,99,82,-247,66,,,,,,,,,0,,25,64,-209,59,,,,,,,,,-15,
,,Pairs Sold,,1198,1307,1729,1141,,,,,,,,,1344,,1187,1364,1627,1195,,,,,,,,,1343,,1097,902,988,733,,,,,,,,,930,,1140,895,807,818,,,,,,,,,915,
,,% Share,,0.2229,0.2432,0.3217,0.2123,,,,,,,,,0.25,,0.2209,0.2539,0.3028,0.2224,,,,,,,,,0.25,,0.2949,0.2425,0.2656,0.197,,,,,,,,,0.25,,0.3115,0.2445,0.2205,0.2235,,,,,,,,,0.25,


,P-Label--------,Price,,34,36.43,42.99,25.99,,,,,,,,,800,,34,0,42.99,29.99,,,,,,,,,800,,34,31.37,38.99,28.99,,,,,,,,,800,,0,37.36,38.99,27.99,,,,,,,,,800,
,,S/Q,,4,4,6,4,,,,,,,,,1385,,4,0,6,4,,,,,,,,,973,,4,4,6,4,,,,,,,,,1411,,0,4,6,4,,,,,,,,,830,
,,Offered,,384,286,200,515,,,,,,,,,800,,259,0,200,514,,,,,,,,,773,,500,189,200,522,,,,,,,,,711,,0,100,171,559,,,,,,,,,800,
,,Sold,,285,0,0,515,,,,,,,,,45.5,,259,0,0,514,,,,,,,,,45.75,,0,189,0,522,,,,,,,,,39,,0,100,141,559,,,,,,,,,40.75,
,,% Share,,0.356,0,0,0.644,,,,,,,,,4,,0.335058215,0,0,0.664941785,,,,,,,,,4,,0,0.265822785,0,0.734177215,,,,,,,,,4,,0,0.125,0.17625,0.69875,,,,,,,,,4,




Year 12

,Internet--------,Price,,72,70,77.99,77,,,,,,,,,74.25,,72,70,77.99,77,,,,,,,,,74.25,,72,70,77.99,77,,,,,,,,,74.25,,72,70,77.99,77,,,,,,,,,74.25,
,,S/Q,,5,5,7,8,,,,,,,,,6.3,,5,5,7,8,,,,,,,,,6.3,,5,5,7,8,,,,,,,,,6.3,,5,5,7,8,,,,,,,,,6.3,
,,Models,,226,249,350,50,,,,,,,,,219,,226,249,350,50,,,,,,,,,219,,226,249,350,50,,,,,,,,,219,,226,249,350,50,,,,,,,,,219,
,,Shipping,,0,0,1,0,,,,,,,,,0.3,,0,0,1,0,,,,,,,,,0.3,,0,0,1,0,,,,,,,,,0.3,,0,0,1,0,,,,,,,,,0.3,
,,Advertising,,13000,14000,17000,16000,,,,,,,,,15000,,12000,13000,17000,17000,,,,,,,,,14750,,6500,8000,10000,6400,,,,,,,,,7725,,6500,7000,7000,6400,,,,,,,,,6725,
,,Appeal,,100,70,85,0,,,,,,,,,64,,70,100,45,0,,,,,,,,,54,,65,70,35,0,,,,,,,,,43,,75,55,40,0,,,,,,,,,43,
,,Orders,,89,115,145,71,,,,,,,,,105,,82,120,143,79,,,,,,,,,106,,63,95,103,43,,,,,,,,,76,,70,91,95,48,,,,,,,,,76,
,,Pairs Sold,,89,115,145,71,,,,,,,,,105,,82,120,143,79,,,,,,,,,106,,63,95,103,43,,,,,,,,,76,,70,91,95,48,,,,,,,,,76,
,,% Share,,0.2119,0.2738,0.3452,0.169,,,,,,,,,0.25,,0.1934,0.283,0.3373,0.1863,,,,,,,,,0.25,,0.2072,0.3125,0.3388,0.1414,,,,,,,,,0.25,,0.2303,0.2993,0.3125,0.1579,,,,,,,,,0.25,


,Wholesale--------,Price,,49,52,56.99,53,,,,,,,,,52.75,,49,50,56.99,55,,,,,,,,,52.75,,43,48,51.99,46,,,,,,,,,47.25,,45,45,50.99,50,,,,,,,,,47.75,
,,S/Q,,5,5,7,8,,,,,,,,,6.3,,5,5,7,8,,,,,,,,,6.3,,5,5,7,8,,,,,,,,,6.3,,5,5,7,8,,,,,,,,,6.3,
,,Models,,250,323,350,62,,,,,,,,,246,,250,328,350,50,,,,,,,,,245,,250,329,350,68,,,,,,,,,249,,250,340,350,55,,,,,,,,,249,
,,Advertising,,13000,14000,17000,16000,,,,,,,,,15000,,12000,13000,17000,17000,,,,,,,,,14750,,6500,8000,10000,6400,,,,,,,,,7725,,6500,7000,7000,6400,,,,,,,,,6725,
,,Rebates,,4,3,5,4,,,,,,,,,4,,4,3,5,4,,,,,,,,,4,,3,2,4,4,,,,,,,,,3.25,,3,2,4,3,,,,,,,,,3,
,,Retailers,,2405,2595,4009,2604,,,,,,,,,2903,,2405,2790,3990,2598,,,,,,,,,2946,,1559,1306,1807,1213,,,,,,,,,1471,,1650,1296,1357,1352,,,,,,,,,1414,
,,Support,,550,450,1200,500,,,,,,,,,675,,550,450,1200,500,,,,,,,,,675,,550,400,1200,550,,,,,,,,,675,,500,400,700,500,,,,,,,,,525,
,,Delivery,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,,3,3,3,3,,,,,,,,,3,
,,Appeal,,100,70,85,0,,,,,,,,,64,,70,100,45,0,,,,,,,,,54,,65,70,35,0,,,,,,,,,43,,75,55,40,0,,,,,,,,,43,
,,Demand,,1319,1326,1811,1091,,,,,,,,,1387,,1233,1532,1768,1070,,,,,,,,,1401,,1066,1015,1183,759,,,,,,,,,1006,,1085,1156,1066,720,,,,,,,,,1007,
,,Gn(StkOut),,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,-14,66,-102,50,,,,,,,,,0,,64,68,-175,40,,,,,,,,,-1,
,,Pairs Sold,,1319,1326,1811,1091,,,,,,,,,1387,,1233,1532,1768,1070,,,,,,,,,1401,,1052,1081,1081,809,,,,,,,,,1006,,1149,1224,891,760,,,,,,,,,1006,
,,% Share,,0.2378,0.239,0.3265,0.1967,,,,,,,,,0.25,,0.2201,0.2734,0.3155,0.191,,,,,,,,,0.25,,0.2615,0.2687,0.2687,0.2011,,,,,,,,,0.25,,0.2855,0.3042,0.2214,0.1889,,,,,,,,,0.25,


,P-Label--------,Price,,24.98,30.49,27.99,20.2,,,,,,,,,872,,23.98,33.49,28.99,22.44,,,,,,,,,884,,20.98,24.49,24.99,17.65,,,,,,,,,884,,23.98,27.49,29.99,21.16,,,,,,,,,884,
,,S/Q,,4,4,7,4,,,,,,,,,1480,,4,4,7,4,,,,,,,,,1770,,4,4,7,4,,,,,,,,,2072,,4,4,7,4,,,,,,,,,1215,
,,Offered,,440,100,200,740,,,,,,,,,872,,661,188,182,739,,,,,,,,,884,,661,571,100,740,,,,,,,,,884,,427,100,100,588,,,,,,,,,884,
,,Sold,,132,0,0,740,,,,,,,,,47.75,,145,0,0,739,,,,,,,,,47.75,,144,0,0,740,,,,,,,,,42.25,,296,0,0,588,,,,,,,,,42.75,
,,% Share,,0.151,0,0,0.849,,,,,,,,,4,,0.164027149,0,0,0.835972851,,,,,,,,,4,,0.162895928,0,0,0.837104072,,,,,,,,,4,,0.334841629,0,0,0.665158371,,,,,,,,,4,




Year 13

,Internet--------,Price,,69.99,70,77.99,71,,,,,,,,,72.25,,69.99,70,77.99,71,,,,,,,,,72.25,,69.99,70,77.99,71,,,,,,,,,72.25,,69.99,70,77.99,71,,,,,,,,,72.25,
,,S/Q,,5,6,8,8,,,,,,,,,6.8,,5,6,8,8,,,,,,,,,6.8,,5,6,8,8,,,,,,,,,6.8,,5,6,8,8,,,,,,,,,6.8,
,,Models,,250,255,350,50,,,,,,,,,226,,250,255,350,50,,,,,,,,,226,,250,255,350,50,,,,,,,,,226,,250,255,350,50,,,,,,,,,226,
,,Shipping,,0,1,1,1,,,,,,,,,0.8,,0,1,1,1,,,,,,,,,0.8,,0,1,1,1,,,,,,,,,0.8,,0,1,1,1,,,,,,,,,0.8,
,,Advertising,,20000,18000,19000,19000,,,,,,,,,19000,,20000,14000,19000,20000,,,,,,,,,18250,,12000,5000,11000,8000,,,,,,,,,9000,,11000,6000,9000,8000,,,,,,,,,8500,
,,Appeal,,155,70,180,60,,,,,,,,,116,,130,100,125,50,,,,,,,,,101,,160,70,120,60,,,,,,,,,103,,165,55,115,95,,,,,,,,,108,
,,Orders,,131,127,145,109,,,,,,,,,128,,132,122,140,118,,,,,,,,,128,,109,87,110,74,,,,,,,,,95,,109,89,105,84,,,,,,,,,97,
,,Pairs Sold,,131,127,145,109,,,,,,,,,128,,132,122,140,118,,,,,,,,,128,,109,87,110,74,,,,,,,,,95,,109,89,105,84,,,,,,,,,97,
,,% Share,,0.2559,0.248,0.2832,0.2129,,,,,,,,,0.25,,0.2578,0.2383,0.2734,0.2305,,,,,,,,,0.25,,0.2868,0.2289,0.2895,0.1947,,,,,,,,,0.25,,0.2817,0.23,0.2713,0.2171,,,,,,,,,0.25,


,Wholesale--------,Price,,50.99,51,57.99,51.5,,,,,,,,,52.87,,48.99,49,57.49,51.5,,,,,,,,,51.75,,45.99,45.5,52.99,44,,,,,,,,,47.12,,44.99,45,52.99,48,,,,,,,,,47.75,
,,S/Q,,5,6,8,8,,,,,,,,,6.8,,5,6,8,8,,,,,,,,,6.8,,5,6,8,8,,,,,,,,,6.8,,5,6,8,8,,,,,,,,,6.8,
,,Models,,250,268,350,50,,,,,,,,,230,,250,346,350,50,,,,,,,,,249,,250,349,350,50,,,,,,,,,250,,250,317,350,50,,,,,,,,,242,
,,Advertising,,20000,18000,19000,19000,,,,,,,,,19000,,20000,14000,19000,20000,,,,,,,,,18250,,12000,5000,11000,8000,,,,,,,,,9000,,11000,6000,9000,8000,,,,,,,,,8500,
,,Rebates,,3,4,6,5,,,,,,,,,4.5,,3,4,6,5,,,,,,,,,4.5,,3,3,5,5,,,,,,,,,4,,2,3,5,6,,,,,,,,,4,
,,Retailers,,2603,2340,4499,2903,,,,,,,,,3086,,2491,2798,4186,2904,,,,,,,,,3095,,1449,1406,1994,1444,,,,,,,,,1573,,1554,1596,1596,1397,,,,,,,,,1536,
,,Support,,600,675,1200,500,,,,,,,,,744,,550,675,1200,500,,,,,,,,,731,,550,675,1200,500,,,,,,,,,731,,500,525,900,500,,,,,,,,,606,
,,Delivery,,3,3,3,2,,,,,,,,,2.8,,3,3,3,2,,,,,,,,,2.8,,3,3,3,2,,,,,,,,,2.8,,3,3,3,2,,,,,,,,,2.8,
,,Appeal,,155,70,180,60,,,,,,,,,116,,130,100,125,50,,,,,,,,,101,,160,70,120,60,,,,,,,,,103,,165,55,115,95,,,,,,,,,108,
,,Demand,,1470,1284,1849,1237,,,,,,,,,1460,,1456,1485,1677,1253,,,,,,,,,1468,,1153,985,1220,974,,,,,,,,,1083,,1263,1106,1122,913,,,,,,,,,1101,
,,Gn(StkOut),,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,,,,,,,,,0,,-4,1,1,1,,,,,,,,,0,
,,Pairs Sold,,1470,1284,1849,1237,,,,,,,,,1460,,1456,1485,1677,1253,,,,,,,,,1468,,1153,985,1220,974,,,,,,,,,1083,,1259,1107,1123,914,,,,,,,,,1101,
